travel_purpose,average_rating,is_incentivised,is_trivial,stayed_room_info/room_id,stayed_room_info/checkin,stayed_room_info/checkout,stayed_room_info/room_name,stayed_room_info/photo/url_640x200,stayed_room_info/photo/url_original,stayed_room_info/photo/ratio,stayed_room_info/photo/url_square60,stayed_room_info/photo/url_max300,stayed_room_info/photo/photo_id,stayed_room_info/num_nights,languagecode,hotelier_response,cons_translated,pros_translated,anonymous,title,review_rating,reviewng,hotel_id,review_hash,countrycode,is_moderated,title_translated,hotelier_name,cons,author/countrycode,author/nr_reviews,author/city,author/type_string,author/age_group,author/user_id,author/type,author/name,author/helpful_vote_count,review_id,pros,date,helpful_vote_count,Rooms,FoodBeverage,StaffService,Otherfacilities,Location,Design,PriceValueForMoney,OverallExperience,author/avatar,reviewer_photos/0/square60_ao,reviewer_photos/0/square90,reviewer_photos/0/max500_ao,reviewer_photos/0/max1280x900,reviewer_photos/1/square90,reviewer_photos/1/max500_ao,reviewer_photos/1/max1280x900,reviewer_photos/1/square60_ao,reviewer_photos/2/square60_ao,reviewer_photos/2/square90,reviewer_photos/2/max500_ao,reviewer_photos/2/max1280x900,reviewer_photos/3/max500_ao,reviewer_photos/3/max1280x900,reviewer_photos/3/square90,reviewer_photos/3/square60_ao,reviewer_photos/4/square60_ao,reviewer_photos/4/max500_ao,reviewer_photos/4/max1280x900,reviewer_photos/4/square90,reviewer_photos/5/max500_ao,reviewer_photos/5/square60_ao,reviewer_photos/5/square90,reviewer_photos/5/max1280x900
leisure,4,0,0,585323506,2023-03-02,2023-03-03,Premier Room Double,https://cf.bstatic.com/images/hotel/640x200/277/277578339.jpg,https://cf.bstatic.com/images/hotel/max500/277/277578339.jpg,1.5002143163309,https://cf.bstatic.com/images/hotel/square60/277/277578339.jpg,https://cf.bstatic.com/images/hotel/max300/277/277578339.jpg,277578339,1,en-gb,,,,,Exceptional,10,1,5853235,2cff0e9d3519a99d,ch,0,,Four Seasons Hotel Madrid,Nothing,ch,0,,Family,,113212095,family_with_children,Asaad,0,2629731593,"Thank you, Four Seasons Madrid....
It was a very short trip to watch football game,the hotel made our trip memorable in every way. 
Helpful and supportive team.
See you soon",2023-03-03 21:20:46,0,,,p,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,
leisure,4,0,0,585323503,2023-02-24,2023-02-27,Superior Courtyard Accessible Room,https://cf.bstatic.com/images/hotel/640x200/277/277577698.jpg,https://cf.bstatic.com/images/hotel/max500/277/277577698.jpg,1.49828767123288,https://cf.bstatic.com/images/hotel/square60/277/277577698.jpg,https://cf.bstatic.com/images/hotel/max300/277/277577698.jpg,277577698,3,en-us,,,,,the best in Madrid,10,1,5853235,ab1b0169eaded425,ae,0,,Four Seasons Hotel Madrid,-,ae,0,,Family,,18031242,family_with_children,Aleksandr,0,2982690395,a really good hotel,2023-02-28 08:00:00,0,,,,,,,,p,https://lh3.googleusercontent.com/-XdUIqdMkCWA/AAAAAAAAAAI/AAAAAAAAAAA/4252rscbv5M/photo.jpg?sz=5064,,,,,,,,,,,,,,,,,,,,,,,,
leisure,2.79999995231628,0,0,585323508,2023-02-19,2023-02-22,Premier Terrace Room,https://cf.bstatic.com/images/hotel/640x200/239/239994574.jpg,https://cf.bstatic.com/images/hotel/max500/239/239994574.jpg,1.5,https://cf.bstatic.com/images/hotel/square60/239/239994574.jpg,https://cf.bstatic.com/images/hotel/max300/239/239994574.jpg,239994574,3,en-us,,,,,This review is negative enough that I�m sure they�ll do that thing where they use my last name in the reply in an effort,7,1,5853235,1b921a40c3ec34ff,us,0,,Four Seasons Hotel Madrid,"The staff. Where do I start? The guy who checked me in immediately assumed that I had gone over my credit limit on my card, to my face (when I was in the middle of explaining to him that my credit card company was having persistent issues with automatically classifying transactions as fraud). Rude and embarrassing. Then the card that was in my room when I got there had the wrong name written on it. They also apparently had a glitch where the system would tell them that my room was set to �do not disturb� when I never once did this. So any time I needed something cleaned, I actually just had to ask, and to their credit, it would get done, but sometimes long after it was needed. The doormen tried to put another guest into a cab I had called for myself (which would have been an understandable mistake, had I not been standing there longer than that guy without even being approached by anyone). I know this is a new property, but in my opinion, there is no excuse for putting this many feet wrong at a rate this high.",us,0,,Solo traveller,,294160752,solo_traveller,Katherine,0,3292111545,"The bed was amazing. I liked the hot tub, even if the jet turned off after two minutes. The food was pretty good. The spa had great service.",2023-02-22 22:20:02,0,p,p,n,p,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,
leisure,4,0,0,585323503,2023-02-03,2023-02-05,Superior Courtyard Accessible Room,https://cf.bstatic.com/images/hotel/640x200/277/277577698.jpg,https://cf.bstatic.com/images/hotel/max500/277/277577698.jpg,1.49828767123288,https://cf.bstatic.com/images/hotel/square60/277/277577698.jpg,https://cf.bstatic.com/images/hotel/max300/277/277577698.jpg,277577698,2,en-gb,,,,,Excellent in every way but room not as advertised.,10,1,5853235,160d1906876c0458,gb,0,,Four Seasons Hotel Madrid,The room was too small. I find it difficult to believe it was 45 m as advertised by Booking.com.,gb,0,,Couple,,176388160,couple,Robert,1,4613214018,Staff and restaurants,2023-02-06 14:08:22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leisure,3.20000004768372,0,0,585323502,2023-01-01,2023-01-05,Superior Courtyard Room,https://cf.bstatic.com/images/hotel/640x200/277/277578341.jpg,https://cf.bstatic.com/images/hotel/max500/277/277578341.jpg,1.49828767123288,https://cf.bstatic.com/images/hotel/square60/277/277578341.jpg,https://cf.bstatic.com/images/hotel/max300/277/277578341.jpg,277578341,4,pt-br,,,,,"estrutura do hot�l � �tima, localiza��o, tamanho do quarto, spa, restaurantes. Tudo �timo. Apenas a vista do nosso quart",8,1,5853235,146cd5a7f231688e,br,0,,Four Seasons Hotel Madrid,n�o gostei da dist�ncia do elevador para o quarto e a vista do quarto para o p�tio interno. muito ruim pois o quarto fica escuro mesmo durante o dia e perde a privacidade.,br,0,,Couple,,83139971,couple,Luisa,1,2136561594,gostei muito da localiza��o e do caf� da manh�,2023-01-13 02:46:55,1,n,p,,p,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
leisure,4,0,0,585323505,2023-01-04,2023-01-08,Deluxe Alcala,https://cf.bstatic.com/images/hotel/640x200/239/239995200.jpg,https://cf.bstatic.com/images/hotel/max500/239/239995200.jpg,1.72109375,https://cf.bstatic.com/images/hotel/square60/239/239995200.jpg,https://cf.bstatic.com/images/hotel/max300/239/239995200.jpg,239995200,4,tr,,,,,Harika,10,1,5853235,17a79f3e3301bc2b,tr,0,,Four Seasons Hotel Madrid,-,tr,0,,Couple,,26045353,couple,M,0,2692759395,"konum, dekorasyon, personelin profesyonelli?i,",2023-01-09 07:42:15,0,,,p,,p,p,,,,,,,,,,,,,,,,,,,,,,,,,,,
leisure,4,0,0,585323504,2022-12-04,2022-12-07,Deluxe Sevilla,https://cf.bstatic.com/images/hotel/640x200/400/400579274.jpg,https://cf.bstatic.com/images/hotel/max500/400/400579274.jpg,1.5002143163309,https://cf.bstatic.com/images/hotel/square60/400/400579274.jpg,https://cf.bstatic.com/images/hotel/max300/400/400579274.jpg,400579274,3,en-gb,,,,,amazing,10,1,5853235,b0e90f6eb068f8af,ae,0,,Four Seasons Hotel Madrid,nothing,ae,0,,Group of friends,,40312941,review_category_group_of_friends,Fahad,2,2836942569,everything,2023-01-08 16:52:04,2,,,,,,,,p,,,,,,,,,,,,,,,,,,,,,,,,,
leisure,4,0,0,585323502,2023-01-01,2023-01-02,Superior Courtyard Room,https://cf.bstatic.com/images/hotel/640x200/277/277578341.jpg,https://cf.bstatic.com/images/hotel/max500/277/277578341.jpg,1.49828767123288,https://cf.bstatic.com/images/hotel/square60/277/277578341.jpg,https://cf.bstatic.com/images/hotel/max300/277/277578341.jpg,277578341,1,es,,,,,Exceptional,10,1,5853235,20384a6271bc2a5d,pe,0,,Four Seasons Hotel Madrid,Nada,pe,0,,Family,,121806625,family_with_children,Diego,0,2298923404,La amabilidad de las personas,2023-01-02 21:26:22,0,,,p,,,,,,https://lh5.googleusercontent.com/-JCLF2bJMud0/AAAAAAAAAAI/AAAAAAAAAU4/UuLi2xQN328/s96-c/photo.jpg64,,,,,,,,,,,,,,,,,,,,,,,,
leisure,4,0,0,585323503,2022-12-30,2023-01-01,Superior Courtyard Accessible Room,https://cf.bstatic.com/images/hotel/640x200/277/277577698.jpg,https://cf.bstatic.com/images/hotel/max500/277/277577698.jpg,1.49828767123288,https://cf.bstatic.com/images/hotel/square60/277/277577698.jpg,https://cf.bstatic.com/images/hotel/max300/277/277577698.jpg,277577698,2,en-gb,,,,,An incredible stay at the heart of Madrid,10,1,5853235,78c5de9044633a5c,fi,0,,Four Seasons Hotel Madrid,"There was one dinner that was not very successful but the manager of the service made everything to compensate for that experience so we were fine in the end. In the spa, I would also welcome a sign at the spa pool to remind guests to shower before entering the pool. For hygienic reasons (and with increasing covid infection rates again), this would seem the normal thing to do. Surprisingly, all guests we saw jumped directly into the pool without showering. Hence, I would recommend the hotel to make efforts to remind people of this.  I gave the feedback already to the spa staff aswell.",fi,0,,Family,,100887796,family_with_children,Christel,0,4610265987,"This is an exceptional hotel. We loved the location, the room, the spa, the overall ambience and the service. The staff really made an effort to listen to our requests and make us feel comfortable and enjoy the stay. Special thanks to the guest experience team for making my child so happy with the little gifts they had arranged based on my request. We will surely return.",2023-01-02 15:15:00,0,p,n,p,p,p,p,,p,https://graph.facebook.com/v2.9/10207999517407111/picture?type=square&height=64&width=64,,,,,,,,,,,,,,,,,,,,,,,,
leisure,4,0,0,585323503,2022-12-20,2022-12-22,Superior Courtyard Accessible Room,https://cf.bstatic.com/images/hotel/640x200/277/277577698.jpg,https://cf.bstatic.com/images/hotel/max500/277/277577698.jpg,1.49828767123288,https://cf.bstatic.com/images/hotel/square60/277/277577698.jpg,https://cf.bstatic.com/images/hotel/max300/277/277577698.jpg,277577698,2,ru,,,,,Exceptional,10,1,5853235,5610dfb4010d75b4,hu,0,,Four Seasons Hotel Madrid,??????????? ????????? ???,hu,0,,Family,,381812668,family_with_children,Anna,0,3452725798,???????????? ? ?????? ?? ?????? ??????! ???????????? ????????? ? ????????? ? ????? ?????? ????????????,2022-12-26 16:02:52,0,,,p,p,,p,,,,https://cf.bstatic.com/xdata/images/xphoto/square60_ao/187269612.jpg?k=2ff30116ca0967862c991e5e18b79f35e9cf1a4adf928ec623db55537edb9505&o=,https://cf.bstatic.com/xdata/images/xphoto/square90/187269612.jpg?k=2ff30116ca0967862c991e5e18b79f35e9cf1a4adf928ec623db55537edb9505&o=,https://cf.bstatic.com/xdata/images/xphoto/max500_ao/187269612.jpg?k=2ff30116ca0967862c991e5e18b79f35e9cf1a4adf928ec623db55537edb9505&o=,https://cf.bstatic.com/xdata/images/xphoto/max1280x900/187269612.jpg?k=2ff30116ca0967862c991e5e18b79f35e9cf1a4adf928ec623db55537edb9505&o=,https://cf.bstatic.com/xdata/images/xphoto/square90/187269615.jpg?k=86be1758af4cc77ab587127af959e82a471871425e39aa73200a403be0a3f2d5&o=,https://cf.bstatic.com/xdata/images/xphoto/max500_ao/187269615.jpg?k=86be1758af4cc77ab587127af959e82a471871425e39aa73200a403be0a3f2d5&o=,https://cf.bstatic.com/xdata/images/xphoto/max1280x900/187269615.jpg?k=86be1758af4cc77ab587127af959e82a471871425e39aa73200a403be0a3f2d5&o=,https://cf.bstatic.com/xdata/images/xphoto/square60_ao/187269615.jpg?k=86be1758af4cc77ab587127af959e82a471871425e39aa73200a403be0a3f2d5&o=,https://cf.bstatic.com/xdata/images/xphoto/square60_ao/187269618.jpg?k=80dd6a4f7fa4dc4de67cd6e7ec27455a3447854973043bcb38d4f71382a0a88b&o=,https://cf.bstatic.com/xdata/images/xphoto/square90/187269618.jpg?k=80dd6a4f7fa4dc4de67cd6e7ec27455a3447854973043bcb38d4f71382a0a88b&o=,https://cf.bstatic.com/xdata/images/xphoto/max500_ao/187269618.jpg?k=80dd6a4f7fa4dc4de67cd6e7ec27455a3447854973043bcb38d4f71382a0a88b&o=,https://cf.bstatic.com/xdata/images/xphoto/max1280x900/187269618.jpg?k=80dd6a4f7fa4dc4de67cd6e7ec27455a3447854973043bcb38d4f71382a0a88b&o=,,,,,,,,,,,,
